Sex_int,Protected category,Overall,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English,Italian Residence,European Residence,Age Range_int,number_of_searches,experience_match_score,study_title_score,professional_similarity_score,study_area_score,general_similarity_score,Distance Residence - Akkodis HQ,Distance Residence - Assumption HQ,Hired
1,False,2.5,2.5,1.5,2.0,2.0,2.5,3.0,3.0,True,True,1,969.5,-0.6666666666666666,0.1666666666666666,0.2709371745586395,0.8313071727752686,0.5584803223609924,474.75192614310606,7.149432317539803,0
1,False,2.0,2.0,1.5,2.0,2.0,1.5,1.5,2.0,True,True,2,957.25,0.0,0.0,0.4519248902797699,0.6039841771125793,0.485044777393341,564.0746668513888,564.0746668513888,0
0,False,2.5,2.0,2.5,3.0,2.0,3.0,3.0,3.0,True,True,1,422.3333333333333,0.1666666666666666,0.0,0.5529546141624451,0.5571199655532837,0.5093287229537964,0.0,0.0,0
1,False,2.0,2.0,2.5,2.5,2.5,2.5,2.5,3.25,True,True,3,613.6666666666666,0.5,0.0,0.2468782067298889,1.0000001192092896,0.5214656591415405,0.0,0.0,0
1,False,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,True,True,0,13.0,0.6666666666666666,0.0,0.4104951620101928,0.9999999403953552,0.5250877141952515,18.4283599311183,18.4283599311183,0
1,False,2.2,1.8,2.2,2.8,2.8,2.4,2.6,2.6,True,True,2,72.0,0.0,0.0,0.506067156791687,0.3291983008384704,0.5511690378189087,673.8345760354268,673.8345760354268,0
1,False,2.0,2.0,1.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,True,True,2,455.6,0.3333333333333333,-0.5,0.1907630711793899,0.2682520449161529,0.4182187914848327,261.2904898703645,0.0,0
1,False,3.0,3.0,2.5,3.5,3.0,2.5,3.5,3.5,True,True,0,774.0,-0.6666666666666666,0.0,0.4214992821216583,1.0,0.5649797916412354,0.0,0.0,1
1,False,1.5,2.5,2.0,2.0,1.5,2.0,1.5,3.0,True,True,6,957.25,0.5,-0.5,0.3604608178138733,0.3917103111743927,0.6248517036437988,126.36801588664628,126.36801588664628,0
1,False,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,True,True,2,340.0,-0.3333333333333333,-0.1666666666666666,0.1343719065189361,0.5431594252586365,0.4144347906112671,528.7818137976898,528.7818137976898,0
1,False,2.0,1.5,2.0,2.0,1.5,2.0,3.0,3.0,True,True,2,159.0,-0.3333333333333333,0.0,0.3214734196662903,0.3837016522884369,0.6063379049301147,525.6548809246697,525.6548809246697,0
1,False,3.0,3.0,2.333333333333333,3.0,2.333333333333333,2.6666666666666665,2.0,2.6666666666666665,True,True,5,154.25,0.6666666666666666,0.0,0.4371730089187622,0.4734894037246704,0.3140952289104461,0.0,0.0,1
0,False,2.0,2.0,1.6666666666666667,1.6666666666666667,2.0,2.0,1.3333333333333333,3.0,True,True,0,958.0,0.5,0.1666666666666666,0.1579746603965759,1.0,0.635712206363678,31.416560207374992,31.416560207374992,0
1,False,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,True,True,0,74.0,0.3333333333333333,0.1666666666666666,0.1556046307086944,1.0000001192092896,0.5397109985351562,319.80640197629367,319.80640197629367,0
1,False,2.0,2.0,2.0,2.5,2.5,2.0,2.0,3.0,True,True,1,945.0,-0.1666666666666666,0.0,0.4267593026161194,0.5692874193191528,0.5267550945281982,842.2292343889554,842.2292343889554,0
1,False,2.5,2.0,2.0,2.0,2.0,3.0,2.0,2.0,True,True,3,240.0,0.0,0.0,0.5613465905189514,1.0,0.3997844457626343,0.0,0.0,1
