cand_provenance_gender,cand_age_bucket,cand_domicile_province,cand_education,job_contract_type,job_sector,job_work_province,hired
North Female,35-44,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Female,45-54,PN,Vocational Certificate,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,35-44,GO,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,45-54,UD,Other,Lavoro subordinato,Operai Generici,UD ,Hired
North Female,35-44,GO,Other,Lavoro subordinato,Operai Generici,UD ,Hired
North Male,45-54,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Hired
North Female,45-54,UD,Other,Lavoro subordinato,Operai Generici,UD ,Hired
North Male,25-34,GO,High School,Lavoro subordinato,Operai Generici,UD ,Hired
North Female,45-54,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Hired
North Male,25-34,UD,Unknown,Lavoro subordinato,Operai Generici,UD ,Hired
North Male,45-54,GO,Other,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,25-34,GO,Unknown,Lavoro subordinato,Operai Generici,UD ,Not Hired
North Male,45-54,CR,Higher Technical Institute,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Male,55-74,MO,Vocational Certificate,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Male,45-54,MO,Other,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Female,35-44,MO,Unknown,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Male,25-34,MO,Other,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Male,25-34,BO,Higher Technical Institute,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Male,35-44,BS,Unknown,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Male,25-34,MO,Vocational Certificate,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Male,35-44,MO,Other,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Male,45-54,MO,Other,Ricerca e selezione,Manutenzione / Riparazione,PR ,Hired
North Female,45-54,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Female,35-44,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Female,45-54,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Male,25-34,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Female,35-44,BG,Other,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Male,45-54,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Female,55-74,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Female,35-44,MB,Unknown,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Female,45-54,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Female,55-74,BS,Unknown,Ricerca e selezione,Operai Generici,BS ,Not Hired
North Female,55-74,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Female,25-34,BS,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Female,35-44,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,55-74,BS,Other,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,25-34,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Female,45-54,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,45-54,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,45-54,BG,Unknown,Lavoro subordinato,Operai Generici,BS ,Hired
North Male,35-44,BS,Other,Lavoro subordinato,Operai Generici,BS ,Not Hired
North Male,35-44,BS,Vocational Certificate,Lavoro subordinato,Operai Generici,BS ,Not Hired
North Male,55-74,BS,Unknown,Lavoro subordinato,Operai Generici,BS ,Not Hired
North Male,25-34,BS,Other,Lavoro subordinato,Operai Generici,BS ,Not Hired
